*	Quality Status	Status	MO Status	Rolls to Pack	Rolls To Transfer	Skids Left to Transfer	Fab to Inspect/Unassign	MO Promise Date	SO Promise Date	FG Panel Items		FG MO	Ship To Customer	Ship To Customer	Core Size	A Grade Completed	FG Req Qty	Open Qty	Extrusion Completed	Fab Metres Prod.	# Of Aframes	Fab MO	Available Master Qty	Fab Item	Fab Description	Sold To	Prod Structure	Pri	Type	Dest	Target Roll Len	Bags Required	Assigned Machine	Scheduled Machine	Activity	Hrs	Days	Schedule Complete Date	
	ALERT-INSP MO NOT CLOSED	OK	Complete				5,328.00	2025/06/22		30312	30312    062.0000 00	0000554624	MILL-NO SHIPTO			44,313.00	50,000.00	5,687.00	true	49,641.00	60	0000554625	0.0	30312	Fab Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"		SL1.2/PC051 - 9.2oz	999999999	IV		0.00	false	EXTINSP	INSPECT7	LARGEDIAMETERROLL	70.00000	0		
	ALERT-INSP MO NOT CLOSED	OK	Complete				0.00	2025/06/22	2025/06/23	30194     7x11.75"	30194    011.7500 07	0000554406	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	183,497.20	182,880.00	-617.20	true	26,158.00	20	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
	INSPECTION IN PROGRESS	I	In Progress				11,876.60	2025/06/22		30350	30350    083.0000 00	0000553234	MILL-NO SHIPTO			47,441.40	75,000.00	27,558.60	true	59,390.00	85	0000553235	0.0	30350	Fab Vintex® 2ply SL-9.3 White FeaKid 83"		SL1.2/PC051 - 9.2oz	999999999	IV		0.00	false	INSPECT1	INSPECT1	LARGEDIAMETERROLL	97.05882	0		
	INSPECTION IN PROGRESS	I	In Progress				3,065.90	2025/06/26	2025/06/27	25701     71"	25701    071.0000 01	0000551867	0000533007	PERMA LINER INDUSTRIES (IL)	CR3X73	95.00	3,072.38	2,977.38	true	3,167.30	9	0000551868	0.0	25701	Fab PLR Scrim Reinforced Pipeliner Material	FMG INC	NP18.0/500d99/23 - 28oz	999999999	IV	IL, US	96.01	false	INSPECT5	INSPECT5	SINGLEPASSWIDE	13.69922	0		
	INSPECTION IN PROGRESS	I	In Progress		25	3	1,572.60	2025/06/26	2025/06/27	25806     62" 100m roll bag	25806    062.0000 01	0000554505	0001630001	VINTEX STOCK	CR3X63	4,409.40	6,000.00	1,590.60	true	6,073.00	3	0000554506	0.0	25806	Fab Vintex® 53-13 VuThru Vel 62"	STOCK	56/53/56 - 13oz	999999999	IV	ON, CA	100.00	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	7.12941	0		
	INSPECTION IN PROGRESS	I	In Progress		10	2	8,000.00	2025/06/29	2025/06/30	30232     63" 3" cores	30232    063.0000 09	0000553742	0001587253	ZEN LINEN	CR3X63	28,713.00	90,525.60	61,812.60	false	44,318.80	6	USE MASTER	69,003.0	30232	Fab V-Care® AB 7/19 Pillow Super White Vel 67"	SPEC-TEX INC	7/PC019 - 5.2oz	999999999	IV	, IN	448.00	false	INSPECT6	INSPECT6	STD_INSPECTION	69.22546	0		
	INSPECTION IN PROGRESS	I	In Progress		31	2	1,245.57	2025/06/23	2025/06/24	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554518	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	101,646.50	182,880.00	81,233.50	true	24,840.57	16	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER	SLITTER	DEACROSLIT1	40.87906	0		
	INSPECTION IN PROGRESS	I	In Progress		34	1	1,422.51	2025/06/24	2025/06/25	30194     7x11.75"	30194    011.7500 07	0000554407	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	13,385.60	182,880.00	169,494.40	true	4,303.71	3	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/27		29491	29491    063.0000 00	0000554530	MILL-NO SHIPTO			0.00	17,500.00	17,500.00	false	0.00	0	0000554533	0.0	29491	Fab Vintex® 3ply 20x10-9.2 White Suede / Vel 63"		PC051/20x10/PC051 - 9.2oz	999999999	IV		0.00	false	INSPECT1	INSPECT1	LARGEDIAMETERROLL	34.38235	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/27	2025/06/27	30162     77"	30162    077.0000 01	0000554678	0000148001	BLUEFIELD MANUFACTURING INC	CR3X79	0.00	9,144.00	9,144.00	false	0.00	0	0000554679	0.0	30162	Fab Vintex® 2000-20 "MSHA" Print Natural / Yellow Vel 77"	BLUEFIELD MANUFACTURING INC	59/2000d/72 - 20oz	999999999	IV	VA, US	45.72	false	INSPECT1	INSPECT1	SEWNWELDSPLICE	30.33657	0		
