*	Item	Item Desc.	Status	MO Status	Work Order	WO Qty	Reported	Open	U of M	Promise Date	# Greige Req.	# Greige Rem.	# Greige Onhand	Greige Item	Production Screen	
	11131	#8 70D Circular Knit 62g/m² 67"	Scheduled		0000557044	7500	0	7500	M - Meter	2026/02/06	10	10	1	11131G	MCJ062ATEN	
	11131	#8 70D Circular Knit 62g/m² 67"	Scheduled		0000557142	7500	0	7500	M - Meter	2026/02/13	10	10	1	11131G	MCJ062ATEN	
	21163	#9 70Dx150D Circular Knit 96g/m² 67"	Closed	E	0000557241	3000	4045	-1045	M - Meter	2026/01/23	6	0	2	21163G	MCJ062ATEN	
	21163	#9 70Dx150D Circular Knit 96g/m² 67"	Scheduled		0000557192	3600	0	3600	M - Meter	2026/02/06	7	7	2	21163G	MCJ062ATEN	
	21163	#9 70Dx150D Circular Knit 96g/m² 67"	Scheduled		0000557194	3600	0	3600	M - Meter	2026/02/13	7	7	2	21163G	MCJ062ATEN	
	22932	#8 70D Circular Knit 62g/m² 84"	Closed	E	0000557162	50000	52312	-2312	M - Meter	2026/01/23	68	6	18	22932G	MCJ062ATEN	
	22932	#8 70D Circular Knit 62g/m² 84"	In Progress		0000556989	25000	7549	17451	M - Meter	2026/01/30	34	25	18	22932G	MCJ062ATEN	
	22932	#8 70D Circular Knit 62g/m² 84"	Scheduled		0000557133	30000	0	30000	M - Meter	2026/02/06	41	41	18	22932G	MCJ062ATEN	
	22932	#8 70D Circular Knit 62g/m² 84"	Scheduled		0000557164	30000	0	30000	M - Meter	2026/02/13	41	41	18	22932G	MCJ062ATEN	
	23269	#9 70Dx150D Circular Knit 96g/m² 91"	In Progress		0000556819	12600	5389	7211	M - Meter	2026/01/30	24	16	11	23197G	MCJ062ATEN	
	23269	#9 70Dx150D Circular Knit 96g/m² 91"	Scheduled		0000557248	5400	0	5400	M - Meter	2026/02/06	11	11	11	23197G	MCJ062ATEN	
	23816	#7 70D Circular Knit 50g/m² 78"	In Progress		0000556789	30000	12408	17592	M - Meter	2026/01/23	29	19	12	23816G	MCJ062ATEN	
	23816	#7 70D Circular Knit 50g/m² 78"	Scheduled		0000557131	30000	0	30000	M - Meter	2026/02/06	29	29	12	23816G	MCJ062ATEN	
	23816	#7 70D Circular Knit 50g/m² 78"	Scheduled		0000557256	30000	0	30000	M - Meter	2026/02/13	29	29	12	23816G	MCJ062ATEN	
	25655	CK012 150D Clearview Knit 62g/m² 93"	Closed	E	0000557226	3000	3562	-562	M - Meter	2026/01/23	4	2	1	25656G	MCJ062ATEN	
