*	Quality Status	Status	MO Status	Rolls to Pack	Rolls To Transfer	Skids Left to Transfer	Fab to Inspect/Unassign	MO Promise Date	SO Promise Date	FG Panel Items		FG MO	Ship To Customer	Ship To Customer	Core Size	A Grade Completed	FG Req Qty	Open Qty	Extrusion Completed	Fab Metres Prod.	# Of Aframes	Fab MO	Available Master Qty	Fab Item	Fab Description	Sold To	Prod Structure	Pri	Type	Dest	Target Roll Len	Bags Required	Assigned Machine	Scheduled Machine	Activity	Hrs	Days	Schedule Complete Date	
	NOT STARTED-SCHEDULED	N	Scheduled				275.00	2025/08/21	2025/08/22	T247302S  73"	T247302S 073.0000 01	0000555277	0001630001	VINTEX STOCK	CR3X73	0.00	300.00	300.00	true	275.00	1	0000555278	0.0	T247302S	Fab Vintex® 50099-9 Yellow Vel / Vel 73"	STOCK	EC0682/500d99/EC0682 - 9.1oz	999999999	IV	ON, CA	914.40	false	INSPECT1	INSPECT1	SEWNWELDSPLICE	0.31059	0		
	NOT STARTED-SCHEDULED	N	Scheduled				336.00	2025/08/21	2025/08/22	T247302Q  73"	T247302Q 073.0000 01	0000555262	0001630001	VINTEX STOCK	CR3X73	0.00	300.00	300.00	true	336.00	1	0000555263	0.0	T247302Q	Fab Vintex® 50099-9 Yellow Vel / Vel 73"	STOCK	EC0670/500d99/EC0670 - 9.1oz	999999999	IV	ON, CA	914.40	false	INSPECT1	INSPECT1	SEWNWELDSPLICE	0.31059	0		
	NOT STARTED-SCHEDULED	N	Scheduled				355.00	2025/08/21	2025/08/22	T247302R  77"	T247302R 077.0000 01	0000555266	0001630001	VINTEX STOCK	CR3X79	0.00	300.00	300.00	true	355.00	1	0000555267	0.0	T247302P	Fab Vintex® MD 2000-18 Yellow Vel 77"	STOCK	EC0682/2000d/EC0682 - 18oz	999999999	IV	ON, CA	92.50	false	INSPECT5	INSPECT5	DOUBLEPASSWIDE	0.64941	0		
	NOT STARTED-SCHEDULED	N	Scheduled				235.00	2025/08/21	2025/08/22	T247302P  77"	T247302P 077.0000 01	0000555239	0001630001	VINTEX STOCK	CR3X79	0.00	300.00	300.00	true	235.00	1	0000555240	0.0	T247302P	Fab Vintex® MD 2000-18 Yellow Vel 77"	STOCK	EC0670/2000d/EC0670 - 18oz	999999999	IV	ON, CA	92.50	false	INSPECT6	INSPECT6	DOUBLEPASSWIDE	0.64941	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/08/28	2025/08/29	T242201C  1x19.75" + 2x29.5"	T242201C 019.7500 04	0000555358	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X19.75NS	0.00	3,000.00	3,000.00	false	0.00	0	USE MASTER	3,824.0	T242201C 083.0000 00	MILL Wenzhou Hairou 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	ET0750/PC051 - 9.5oz	999999999	IV	TX, US	750.00	false	SLITTER	SLITTER2	DEACROSLIT2	0.42353	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/08/28	2025/08/29	T242201C  1x19.75" + 2x29.5"	T242201C 029.5000 04	0000555358	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X29.5NS	0.00	6,000.00	6,000.00	false	0.00	0	USE MASTER	3,824.0	T242201C 083.0000 00	MILL Wenzhou Hairou 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	ET0750/PC051 - 9.5oz	999999999	IV	TX, US	750.00	false	SLITTER	SLITTER2	DEACROSLIT2	0.84706	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/08/28	2025/08/29	T242201C  3x24.75"	T242201C 024.7500 02	0000555357	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X24.75NS	0.00	6,750.00	6,750.00	false	0.00	0	USE MASTER	3,824.0	T242201C 083.0000 00	MILL Wenzhou Hairou 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	ET0750/PC051 - 9.5oz	999999999	IV	TX, US	750.00	false	SLITTER	SLITTER	DEACROSLIT2	0.95294	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/08/28	2025/08/29	T242201C  4x19.75"	T242201C 019.7500 01	0000555356	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X19.75NS	0.00	3,000.00	3,000.00	false	0.00	0	USE MASTER	3,824.0	T242201C 083.0000 00	MILL Wenzhou Hairou 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	ET0750/PC051 - 9.5oz	999999999	IV	TX, US	750.00	false	SLITTER	SLITTER2	DEACROSLIT2	0.42353	0		
	NOT STARTED-SCHEDULED	N	Scheduled				3,634.00	2025/08/20		T242201C	T242201C 083.0000 00	0000555353	MILL-NO SHIPTO			0.00	3,500.00	3,500.00	true	3,634.00	2	0000555354	0.0	T242201C	Fab Wenzhou Hairou 2ply SL-9.3 White FeaKid 83"		ET0750/PC051 - 9.2oz	999999999	IV		0.00	false	INSPECT1	INSPECT1	LARGEDIAMETERROLL	4.52941	0		
	ORDER CLEARED	OK	Closed				0.00	2025/08/11	2025/08/06	T-5622    5x11.79	T-5622   011.7900 02	0000555195	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	4,383.50	4,389.12	5.62	true	940.00	1	0000555196	0.0	T-5622   063.0000 00	MILL 3-Ply 11.5oz SL White FeaKid/FeaKid 63" JH	WELCH ALLYN INC (TJ)	PC051/SL1.2/PC051 - 11.5oz	3	IV	CA, US	292.70	false	SLITTER	SLITTER	DEACROSLIT1	1.70401	0		
